date,team1,team2,winner,Year,Team,MatchPlayed,MatchWon,Matchlost,,
4/6/2012,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,,,,,,,
4/7/2012,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,,,,,,,
4/7/2012,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,,,,,,,
4/8/2012,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,,,,,,,
4/8/2012,Pune Warriors,Kings XI Punjab,Pune Warriors,,,,,,,
4/9/2012,Deccan Chargers,Mumbai Indians,Mumbai Indians,,,,,,,
4/10/2012,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,,,,,,,
4/10/2012,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,,,,,,,
4/11/2012,Mumbai Indians,Rajasthan Royals,Mumbai Indians,,,,,,,
4/12/2012,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,,,,,,,
4/12/2012,Kings XI Punjab,Pune Warriors,Kings XI Punjab,,,,,,,
4/13/2012,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,,,,,,,
4/19/2012,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,,,,,,,
4/14/2012,Pune Warriors,Chennai Super Kings,Pune Warriors,,,,,,,
4/15/2012,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,,,,,,,
4/15/2012,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,,,,,,,
